student_id,profile_type,step_number,session_id,recommended_skill_id,outcome_success,outcome_score,outcome_time_spent,reward,1a,1b,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a
sint_0000,desde_cero,1,ses_sint_0000_1,1a,1,0.8100,240,1.7046,19,32,31,23,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,2,ses_sint_0000_1,1b,1,0.8900,235,1.5512,49,32,31,23,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,3,ses_sint_0000_1,1a,1,0.8900,214,1.3525,49,62,31,23,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,4,ses_sint_0000_1,2b,0,0.4000,307,-0.7000,76,62,31,23,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,5,ses_sint_0000_1,1a,1,0.9300,182,1.0274,76,62,31,-2,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,6,ses_sint_0000_1,2c,1,0.8500,225,1.6646,89,62,31,-2,23,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,7,ses_sint_0000_1,2c,1,0.8800,137,1.3085,89,62,31,-2,53,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,8,ses_sint_0000_1,2b,0,0.2700,436,-0.7000,89,62,31,-2,78,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,9,ses_sint_0000_1,2a,1,0.9300,205,1.5669,89,62,31,-27,78,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,10,ses_sint_0000_2,1b,1,0.8800,180,1.2049,89,62,61,-27,78,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,11,ses_sint_0000_2,3c,1,0.8900,253,1.8706,89,82,61,-27,78,6,9,7,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,12,ses_sint_0000_2,5a,0,0.2200,399,-0.7000,89,82,61,-27,78,6,9,37,6,7,2,5,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,13,ses_sint_0000_2,3c,0,0.4400,382,-0.7000,89,82,61,-27,78,6,9,37,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,14,ses_sint_0000_2,2a,1,0.8900,199,1.2111,89,82,61,-27,78,6,9,14,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,15,ses_sint_0000_2,2c,0,0.2900,288,-0.7000,90,82,82,-27,78,6,9,14,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,16,ses_sint_0000_2,3c,0,0.3600,422,-0.7000,90,82,82,-27,57,6,9,14,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,17,ses_sint_0000_2,1b,1,0.9700,111,0.9599,90,82,82,-27,57,6,9,-11,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,18,ses_sint_0000_2,5a,1,0.9700,225,2.1893,90,92,82,-27,57,6,9,-11,6,7,2,-20,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,19,ses_sint_0000_3,3c,0,0.3500,291,-0.7000,90,92,82,-27,57,6,9,-11,6,7,2,10,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,20,ses_sint_0000_3,3c,0,0.1700,437,-0.7000,90,92,82,-27,57,6,9,-30,6,7,2,10,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,21,ses_sint_0000_3,2c,1,0.9700,162,1.2629,90,92,82,-27,57,6,9,-30,6,7,2,10,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,22,ses_sint_0000_3,5a,1,0.8900,198,1.8336,90,92,82,-27,79,6,9,-30,6,7,2,10,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,23,ses_sint_0000_3,2c,1,0.9100,168,1.0021,90,92,82,-27,79,6,9,-30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,24,ses_sint_0000_3,2b,0,0.2700,427,-0.7000,90,92,82,-27,91,6,9,-30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,25,ses_sint_0000_3,3c,0,0.4300,434,-0.7000,90,92,82,-30,91,6,9,-30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,26,ses_sint_0000_3,3c,1,0.9600,283,2.3140,90,92,82,-30,91,6,9,-30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,27,ses_sint_0000_3,2a,1,0.9300,175,0.9772,90,92,82,-30,91,6,9,0,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,28,ses_sint_0000_4,3c,1,0.8800,263,1.9593,90,92,92,-30,91,6,9,0,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,29,ses_sint_0000_4,2b,0,0.1400,438,-0.7000,90,92,92,-30,91,6,9,30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0000,desde_cero,30,ses_sint_0000_4,2c,1,0.9700,127,0.8748,90,92,92,-30,91,6,9,30,6,7,2,40,2,6,2,10,3,7,9,1,2,2,7
sint_0001,desde_cero,1,ses_sint_0001_1,1b,0,0.3300,331,-0.7000,17,20,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,2,ses_sint_0001_1,1b,0,0.1800,449,-0.7000,17,-5,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,3,ses_sint_0001_1,1b,1,0.7400,272,2.2817,17,-30,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,4,ses_sint_0001_1,1b,0,0.1500,353,-0.7000,17,0,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,5,ses_sint_0001_1,1b,0,0.3400,463,-0.7000,17,-23,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,6,ses_sint_0001_1,5a,1,0.9800,220,1.8647,17,-30,12,35,30,10,6,3,7,7,7,5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,7,ses_sint_0001_1,5a,0,0.2500,367,-0.7000,17,-30,12,35,30,10,6,3,7,7,7,35,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,8,ses_sint_0001_1,5a,0,0.3000,398,-0.7000,17,-30,12,35,30,10,6,3,7,7,7,12,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,9,ses_sint_0001_1,5a,1,0.8600,267,2.0684,17,-30,12,35,30,10,6,3,7,7,7,-12,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,10,ses_sint_0001_2,5a,0,0.2800,381,-0.7000,17,-30,12,35,30,10,6,3,7,7,7,18,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,11,ses_sint_0001_2,1a,0,0.1800,412,-0.7000,17,-30,12,35,30,10,6,3,7,7,7,-5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,12,ses_sint_0001_2,5a,0,0.2800,427,-0.7000,-8,-30,12,35,30,10,6,3,7,7,7,-5,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,13,ses_sint_0001_2,1a,0,0.2300,451,-0.7000,-8,-30,12,35,30,10,6,3,7,7,7,-29,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,14,ses_sint_0001_2,5a,1,0.9800,246,2.2618,-30,-30,12,35,30,10,6,3,7,7,7,-29,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,15,ses_sint_0001_2,5a,0,0.3700,335,-0.7000,-30,-30,12,35,30,10,6,3,7,7,7,1,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,16,ses_sint_0001_2,1b,1,0.8800,260,2.2721,-30,-30,12,35,30,10,6,3,7,7,7,-22,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,17,ses_sint_0001_2,1a,0,0.3900,472,-0.7000,-30,0,12,35,30,10,6,3,7,7,7,-22,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,18,ses_sint_0001_2,1b,1,0.9800,259,1.9160,-30,0,12,35,30,10,6,3,7,7,7,-22,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,19,ses_sint_0001_3,5a,1,0.8600,272,2.1820,-30,30,12,35,30,10,6,3,7,7,7,-22,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,20,ses_sint_0001_3,1b,0,0.4000,346,-0.7000,-30,30,12,35,30,10,6,3,7,7,7,8,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,21,ses_sint_0001_3,1b,0,0.4400,423,-0.7000,-30,9,12,35,30,10,6,3,7,7,7,8,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,22,ses_sint_0001_3,1b,0,0.4300,424,-0.7000,-30,-14,12,35,30,10,6,3,7,7,7,8,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,23,ses_sint_0001_3,5a,1,0.8500,271,1.8180,-30,-30,12,35,30,10,6,3,7,7,7,8,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,24,ses_sint_0001_3,1a,1,0.7000,223,2.2799,-30,-30,12,35,30,10,6,3,7,7,7,38,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,25,ses_sint_0001_3,1b,0,0.2300,407,-0.7000,0,-30,12,35,30,10,6,3,7,7,7,38,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,26,ses_sint_0001_3,5a,1,0.9200,201,1.4659,0,-30,12,35,30,10,6,3,7,7,7,38,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,27,ses_sint_0001_3,1b,1,0.7600,247,2.2877,0,-30,12,35,30,10,6,3,7,7,7,68,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,28,ses_sint_0001_4,1b,1,0.8900,222,1.9316,0,0,12,35,30,10,6,3,7,7,7,68,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,29,ses_sint_0001_4,1a,0,0.1600,398,-0.7000,0,30,12,35,30,10,6,3,7,7,7,68,10,6,3,1,6,2,4,6,10,8,1
sint_0001,desde_cero,30,ses_sint_0001_4,1a,0,0.2000,405,-0.7000,-23,30,12,35,30,10,6,3,7,7,7,68,10,6,3,1,6,2,4,6,10,8,1
sint_0002,desde_cero,1,ses_sint_0002_1,1a,1,0.9700,239,1.7530,15,30,23,24,23,4,2,5,8,9,10,5,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,2,ses_sint_0002_1,1b,1,0.9300,193,1.5658,45,30,23,24,23,4,2,5,8,9,10,5,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,3,ses_sint_0002_1,1b,1,0.8800,139,1.2097,45,60,23,24,23,4,2,5,8,9,10,5,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,4,ses_sint_0002_1,5a,0,0.4500,364,-0.7000,45,86,23,24,23,4,2,5,8,9,10,5,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,5,ses_sint_0002_1,1b,1,0.9600,179,0.9083,45,86,23,24,23,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,6,ses_sint_0002_1,1b,1,0.9500,169,0.7925,45,95,23,24,23,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,7,ses_sint_0002_1,1b,1,0.9700,183,0.7528,45,99,23,24,23,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,8,ses_sint_0002_1,2c,0,0.3600,389,-0.7000,45,100,23,24,23,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,9,ses_sint_0002_1,2c,0,0.4300,391,-0.7000,45,100,23,24,-2,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
sint_0002,desde_cero,10,ses_sint_0002_2,5a,1,0.8700,277,2.1692,45,100,23,24,-27,4,2,5,8,9,10,-20,9,2,7,3,5,2,5,6,8,4,4
